震级(M),发震时刻(UTC+8),纬度(°),经度(°),深度(千米),参考位置
3.5,2021/11/29 5:52,34.39,99.11,10,青海果洛州玛沁县
5.4,2021/11/28 21:51,-6.75,125.45,540,班达海
7.3,2021/11/28 18:52,-4.5,-76.7,100,秘鲁北部
5.4,2021/11/28 2:48,-7.1,155.95,100,所罗门群岛
3,2021/11/27 20:38,41.96,85.82,7,新疆巴音郭楞州库尔勒市
3.3,2021/11/26 23:24,29.65,104.69,8,四川内江市威远县
5.5,2021/11/26 15:14,29.02,142.71,10,日本小笠原群岛
5.7,2021/11/26 12:13,-21.4,174.45,500,瓦努阿图群岛
6.1,2021/11/26 7:45,22.7,93.4,50,缅甸
6.3,2021/11/25 20:04,-10.6,166.35,10,圣克鲁斯群岛
2.5,2021/11/25 12:01,37.55,115.08,10,河北邢台市宁晋县
4.8,2021/11/24 17:55,24.03,122.33,20,台湾花莲县海域
4.6,2021/11/24 17:16,26.87,106.68,10,贵州贵阳市修文县
3.1,2021/11/24 6:32,41.17,83.48,10,新疆阿克苏地区库车市
2.8,2021/11/24 1:29,28.15,104.75,8,四川宜宾市珙县
2.8,2021/11/23 10:28,22.32,101.66,8,老挝
2.8,2021/11/23 8:17,22.32,101.66,8,老挝
3,2021/11/23 3:13,28.17,104.98,8,四川宜宾市兴文县
3,2021/11/23 3:04,32.62,112.95,5,河南南阳市唐河县
3.3,2021/11/22 14:43,40.8,82.73,20,新疆阿克苏地区沙雅县
2.8,2021/11/22 14:21,38.46,116.4,12,河北沧州市河间市
4.6,2021/11/21 18:51,28.45,104.79,11,四川宜宾市长宁县
3.3,2021/11/21 13:52,39.87,75.31,25,新疆克孜勒苏州乌恰县
5.7,2021/11/21 13:12,-29.28,-176.67,10,新西兰克马德克群岛
2.9,2021/11/20 19:48,30.16,101.96,12,四川甘孜州康定市
3.1,2021/11/20 16:52,41.29,83.62,10,新疆阿克苏地区库车市
3.1,2021/11/20 7:28,36.18,77.75,89,新疆喀什地区叶城县
3,2021/11/20 4:56,28.15,104.76,8,四川宜宾市珙县
5.1,2021/11/19 20:40,39.9,41.9,10,土耳其
2,2021/11/19 15:46,36.35,114.33,9,河北邯郸市磁县
5.5,2021/11/19 0:56,13.6,-90.85,30,危地马拉沿岸近海
5.4,2021/11/18 23:40,-4.7,153.3,40,新爱尔兰地区
6.2,2021/11/18 22:08,-5.35,153.71,40,新爱尔兰地区
4,2021/11/18 20:42,38,106.27,19,宁夏银川市灵武市
3.1,2021/11/18 5:04,33.83,100.53,10,青海果洛州久治县
2.9,2021/11/17 23:42,28.16,104.75,10,四川宜宾市珙县
3.1,2021/11/17 15:39,28.22,104.96,10,四川宜宾市兴文县
5.4,2021/11/17 15:39,-4.7,153.5,90,新爱尔兰地区
5,2021/11/17 13:54,33.5,121.19,17,江苏盐城市大丰区海域
4.7,2021/11/17 10:25,24.8,122.25,10,台湾宜兰县海域
4.6,2021/11/16 15:54,22.31,101.69,9,老挝
4.8,2021/11/16 13:22,22.31,101.68,9,老挝
2.4,2021/11/16 13:21,32.94,96.62,9,青海玉树州玉树市（有感）
3.9,2021/11/16 7:15,39.39,93.75,12,甘肃酒泉市阿克塞县
5.9,2021/11/15 12:23,-37.34,51.23,10,西南印度洋海岭
3.3,2021/11/15 9:21,32.67,90.42,25,西藏那曲市安多县
4.8,2021/11/14 21:05,24.58,122.02,50,台湾宜兰县海域
6.3,2021/11/14 20:08,27.75,56.11,10,伊朗
6.2,2021/11/14 20:07,27.67,56.11,10,伊朗
2.2,2021/11/14 13:36,39.96,118.98,11,河北秦皇岛市卢龙县
2.9,2021/11/14 12:59,39.95,118.98,14,河北秦皇岛市卢龙县
2.1,2021/11/13 23:58,37.41,114.92,5,河北邢台市隆尧县
5.5,2021/11/13 21:05,-21.22,119.8,10,澳大利亚西部地区
2.4,2021/11/13 20:43,39.97,118.97,7,河北秦皇岛市卢龙县
5.2,2021/11/13 11:18,-20.55,-177.48,510,斐济群岛
2.9,2021/11/12 12:54,38.74,117.6,11,天津滨海新区
4.3,2021/11/12 9:50,28.08,105.09,10,云南昭通市威信县
3.9,2021/11/11 21:06,37.66,77.61,10,新疆喀什地区叶城县
5.9,2021/11/11 1:46,-4.3,134.25,10,印尼巴布亚省附近海域
6.5,2021/11/10 23:45,23.5,126.55,10,琉球群岛东南部
3.9,2021/11/10 16:39,29.59,104.69,8,四川内江市威远县
4.2,2021/11/10 2:24,23.94,122.45,9,台湾花莲县海域
6.3,2021/11/9 14:25,11.27,-86.56,40,尼加拉瓜沿岸近海
5.9,2021/11/9 10:53,11.15,-86.65,40,尼加拉瓜沿岸近海
2.8,2021/11/9 4:27,36.6,114.6,14,河北邯郸市邯山区
3.8,2021/11/9 3:35,38.18,93.79,6,青海海西州茫崖市
5,2021/11/9 1:43,37.85,32.05,10,土耳其
3,2021/11/8 16:18,37.01,84.43,10,新疆巴音郭楞州且末县
3,2021/11/8 3:10,41.14,83.43,10,新疆阿克苏地区库车市
3,2021/11/7 9:35,32.08,111.07,8,湖北襄阳市保康县
5.9,2021/11/6 22:37,-0.25,124.4,50,印尼马鲁古海
3.1,2021/11/6 2:51,38.33,89.31,9,新疆巴音郭楞州若羌县
4.2,2021/11/5 9:48,28.73,87.44,10,西藏日喀则市定日县
2.4,2021/11/5 4:25,39.51,118.14,14,河北唐山市丰南区
3.1,2021/11/5 2:48,41.24,83.54,7,新疆阿克苏地区库车市
5.5,2021/11/4 10:42,-2.8,129.35,10,印尼塞兰岛附近海域
2.9,2021/11/3 13:51,38.17,116.83,10,河北沧州市沧县
5.6,2021/11/3 11:17,-32.7,-70,100,阿根廷
5.9,2021/11/3 0:43,-7.05,130.7,80,班达海
3.7,2021/11/2 12:01,33.49,84.62,10,西藏阿里地区改则县
5.4,2021/11/2 10:28,-23,171.6,10,洛亚蒂群岛
5.9,2021/11/2 1:04,0.2,96.7,10,印尼苏门答腊岛北部海域
3.6,2021/11/1 21:48,40.34,77.26,13,新疆克孜勒苏州阿图什市
3.1,2021/11/1 20:29,43.1,87.95,10,新疆吐鲁番市托克逊县
5.9,2021/11/1 8:02,-57.85,-25.05,50,南桑威奇群岛
3.2,2021/11/1 2:42,38.62,102.02,10,甘肃金昌市金川区
5.5,2021/11/1 0:37,55,-158.8,10,美国阿拉斯加州以南海域
2.3,2021/10/31 23:51,39.6,118.13,5,河北唐山市路南区
5,2021/10/30 19:11,-7.55,125.55,10,班达海
5.3,2021/10/30 16:05,-19.55,-177.25,380,斐济群岛
